juego,plataforma,ano,genero,fabricante,ventas_usa,ventas_europa,ventas_japon,ventas_otro,ventas_globales,score_criticos,num_criticos,score_usuarios,num_usuarios,desarollador,rating
Project CARS,PC,2015,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,48.0,71.0,418.0,Slightly Mad Studios,E
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,36.0,8.0,48.0,4.0,Ubisoft,E10+
Just Cause 2,PC,2010,Action,Square Enix,0.0,0.1,0.0,0.02,0.12,84.0,33.0,77.0,838.0,Avalanche Studios,M
Crush3D,3DS,2012,Platform,Sega,0.07,0.04,0.0,0.01,0.12,71.0,32.0,74.0,16.0,Zoe Mode,E10+
NeverDead,PS3,2012,Shooter,Konami Digital Entertainment,0.06,0.04,0.01,0.02,0.12,50.0,32.0,47.0,47.0,Rebellion,M
Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12,67.0,21.0,73.0,12.0,Capcom,E
Need for Speed: ProStreet,DS,2007,Racing,Electronic Arts,0.11,0.01,0.0,0.01,0.12,74.0,8.0,74.0,10.0,Exient Entertainment,E
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12,86.0,17.0,80.0,60.0,Codemasters,E
NHL 2K7,PS3,2006,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,79.0,24.0,66.0,5.0,Kush Games,E10+
Worms 3D,PS2,2003,Strategy,Sega,0.06,0.05,0.0,0.02,0.12,70.0,31.0,78.0,22.0,Team 17,T
Gladiator Begins,PSP,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12,59.0,9.0,80.0,14.0,Acquire,M
Sleeping Dogs,PC,2012,Action,Square Enix ,0.06,0.05,0.0,0.01,0.12,81.0,23.0,82.0,1209.0,United Front Games,M
Impossible Mission,DS,2007,Platform,System 3 Arcade Software,0.11,0.0,0.0,0.01,0.12,61.0,8.0,48.0,6.0,System 3,E
Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12,63.0,5.0,82.0,6.0,Psikyo,E
Pryzm Chapter One: The Dark Unicorn,PS2,2002,Adventure,TDK Mediactive,0.06,0.05,0.0,0.02,0.12,59.0,8.0,52.0,6.0,Digital Illusions,T
Eat Lead: The Return of Matt Hazard,X360,2009,Shooter,D3Publisher,0.1,0.01,0.0,0.01,0.12,53.0,53.0,70.0,27.0,Vicious Cycle,T
Guilty Gear X,PS2,2001,Fighting,Sammy Corporation,0.06,0.05,0.0,0.02,0.12,79.0,15.0,78.0,16.0,Arc System Works,T
Obscure: The Aftermath,Wii,2008,Action,Playlogic Game Factory,0.11,0.0,0.0,0.01,0.12,53.0,19.0,81.0,14.0,Hydravision,M
Disney's PK: Out of the Shadows,PS2,2002,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.12,49.0,14.0,50.0,4.0,Ubisoft,E
Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,0.09,0.0,0.03,0.01,0.12,62.0,11.0,77.0,44.0,Spike,M
Puzzle Quest: Challenge of the Warlords,PS2,2007,Puzzle,D3Publisher,0.06,0.05,0.0,0.02,0.12,78.0,11.0,70.0,6.0,Infinite Interactive,E10+
Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,64.0,4.0,84.0,18.0,Ubisoft,E
Makai Kingdom: Chronicles of the Sacred Tome,PS2,2005,Role-Playing,Tecmo Koei,0.06,0.05,0.0,0.02,0.12,77.0,41.0,73.0,12.0,Nippon Ichi Software,T
Lemony Snicket's A Series of Unfortunate Events,XB,2004,Platform,Activision,0.09,0.03,0.0,0.0,0.12,70.0,17.0,72.0,5.0,Activision,E
Neopets Petpet Adventures: The Wand of Wishing,PSP,2006,Adventure,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12,66.0,21.0,77.0,6.0,SCEA,E
Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,0.07,0.05,0.0,0.01,0.12,79.0,6.0,83.0,6.0,Metro,E
Ice Age: Dawn of the Dinosaurs,X360,2009,Action,Activision,0.09,0.02,0.0,0.01,0.12,68.0,28.0,75.0,6.0,Activision,E10+
Star Trek: Conquest,Wii,2007,Strategy,Bethesda Softworks,0.11,0.01,0.0,0.01,0.12,49.0,18.0,49.0,11.0,4J Studios,E
Major League Baseball 2K8 Fantasy All-Stars,DS,2008,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,59.0,8.0,70.0,6.0,Deep Fried Entertainment,E
Madden NFL 06,DS,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,66.0,9.0,63.0,12.0,Exient Entertainment,E
Red Faction II,XB,2003,Shooter,THQ,0.09,0.03,0.0,0.0,0.12,74.0,20.0,58.0,11.0,Outrage Games,M
Voodoo Vince,XB,2003,Platform,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.12,73.0,38.0,84.0,22.0,Beep Industries,T
Everybody Dance,PS3,2011,Misc,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12,66.0,5.0,68.0,8.0,SCEE,T
Blackwater,X360,2011,Shooter,505 Games,0.09,0.02,0.0,0.01,0.12,37.0,12.0,45.0,14.0,Zombie Studios,T
Tom Clancy's Ghost Recon,Wii,2010,Shooter,Ubisoft,0.1,0.01,0.0,0.01,0.12,46.0,21.0,68.0,8.0,Next Level Games,T
Chase: Hollywood Stunt Driver,XB,2002,Racing,BAM! Entertainment,0.09,0.03,0.0,0.0,0.12,60.0,14.0,74.0,5.0,I-Imagine,T
Thor: God of Thunder,DS,2011,Action,Sega,0.08,0.03,0.0,0.01,0.12,64.0,18.0,72.0,9.0,WayForward,E10+
The X Files: Resist or Serve,PS2,2004,Adventure,Vivendi Games,0.06,0.05,0.0,0.02,0.12,67.0,31.0,84.0,8.0,Black Ops Entertainment,M
Touch My Katamari ,PSV,2011,Puzzle,Namco Bandai Games,0.07,0.03,0.0,0.02,0.12,69.0,41.0,74.0,51.0,Bandai Namco Games,E10+
PixelJunk Monsters Deluxe,PSP,2010,Strategy,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12,86.0,27.0,79.0,32.0,Q-Games,E
Curious George,PS2,2006,Action,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12,53.0,13.0,77.0,6.0,Monkey Bar Games,E
Killer is Dead,X360,2013,Action,Deep Silver,0.08,0.02,0.01,0.01,0.12,64.0,38.0,72.0,144.0,Grasshopper Manufacture,M
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12,76.0,4.0,74.0,19.0,Big Ant Studios,E
Megamind: Ultimate Showdown,X360,2010,Action,THQ,0.07,0.04,0.0,0.01,0.12,33.0,7.0,43.0,6.0,THQ Australia,E10+
Zathura,PS2,2005,Adventure,Take-Two Interactive,0.06,0.05,0.0,0.02,0.12,43.0,16.0,20.0,5.0,High Voltage Software,E10+
Mytran Wars,PSP,2009,Strategy,Deep Silver,0.08,0.02,0.0,0.02,0.12,68.0,16.0,88.0,4.0,Stormregion,T
NCIS,PS3,2011,Adventure,Ubisoft,0.07,0.04,0.0,0.02,0.12,50.0,4.0,40.0,4.0,Ubisoft,T
Undead Knights,PSP,2009,Action,Ubisoft Annecy,0.05,0.0,0.06,0.01,0.12,63.0,27.0,80.0,13.0,Now Production,M
Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.0,0.0,0.01,0.12,49.0,26.0,60.0,11.0,Sanzaru Games,E10+
Cel Damage,XB,2001,Racing,Electronic Arts,0.09,0.03,0.0,0.0,0.12,65.0,24.0,84.0,7.0,Pseudo Interactive,T
Supremacy MMA,PS3,2011,Fighting,505 Games,0.07,0.03,0.0,0.02,0.12,47.0,17.0,65.0,4.0,Kung Fu Factory,M
Lunar: Dragon Song,DS,2005,Role-Playing,Rising Star Games,0.11,0.0,0.0,0.01,0.12,59.0,30.0,62.0,17.0,"Game Arts, Japan Art Media (JAM)",E10+
Breakdown,XB,2004,Adventure,Electronic Arts,0.09,0.03,0.0,0.0,0.12,71.0,62.0,82.0,17.0,Namco,M
Venetica,PS3,2010,Role-Playing,DTP Entertainment,0.07,0.03,0.0,0.01,0.12,47.0,14.0,65.0,6.0,Deck 13,T
Looney Tunes: Sheep Raider,PS,2001,Platform,Infogrames,0.07,0.05,0.0,0.01,0.12,72.0,12.0,88.0,25.0,Infogrames,E
Geometry Wars: Galaxies,Wii,2007,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.12,80.0,55.0,82.0,26.0,Kuju Entertainment,E
Conduit 2,Wii,2011,Shooter,Sega,0.07,0.04,0.0,0.01,0.12,64.0,51.0,76.0,60.0,High Voltage Software,T
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12,86.0,45.0,79.0,915.0,"Crystal Dynamics, Nixxes Software",M
X2: Wolverine's Revenge,GC,2003,Platform,Activision,0.09,0.02,0.0,0.0,0.12,62.0,21.0,66.0,8.0,GenePool,T
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0.0,0.1,0.0,0.12,83.0,5.0,80.0,22.0,Sega,T
Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0.0,0.0,0.01,0.12,28.0,18.0,49.0,8.0,Santa Cruz Games,E
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,37.0,60.0,383.0,Arkane Studios,M
NPPL: Championship Paintball 2009,X360,2008,Shooter,Activision Value,0.1,0.01,0.0,0.01,0.12,44.0,9.0,73.0,9.0,FUN Labs,E10+
Atelier Annie: Alchemists of Sera Island,DS,2009,Role-Playing,Gust,0.08,0.0,0.03,0.01,0.12,70.0,11.0,67.0,15.0,Gust,E10+
WWE SmackDown vs Raw 2008,DS,2007,Fighting,THQ,0.11,0.0,0.0,0.01,0.12,61.0,12.0,66.0,13.0,Amaze Entertainment,T
College Hoops 2K6,X360,2006,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,70.0,17.0,73.0,11.0,2K Sports,E
Fat Princess: Fistful of Cake,PSP,2010,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.02,0.12,74.0,33.0,87.0,25.0,SuperVillain Studios,T
Sonic Adventure 2,DC,2001,Platform,Sega,0.0,0.0,0.12,0.0,0.12,89.0,18.0,86.0,236.0,Sonic Team,E
Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,18.0,21.0,132.0,Robomodo,T
Gladiator: Sword of Vengeance,PS2,2003,Action,Acclaim Entertainment,0.06,0.05,0.0,0.02,0.12,65.0,19.0,58.0,8.0,Acclaim Studios Manchester,M
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,31.0,65.0,81.0,"Prope, Kadokawa",E10+
Pinball Hall of Fame: The Williams Collection,X360,2009,Misc,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,83.0,18.0,83.0,16.0,Farsight Studios,E10+
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,20.0,68.0,14.0,Ubisoft Vancouver,E
Overlord: Raising Hell,PS3,2008,Action,Codemasters,0.07,0.03,0.0,0.02,0.12,72.0,35.0,77.0,27.0,4J Studios,T
Power Gig: Rise of the SixString,X360,2010,Misc,Unknown,0.11,0.0,0.0,0.01,0.12,36.0,20.0,21.0,17.0,Seven45 Studios,T
NFL Head Coach,XB,2006,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,69.0,26.0,71.0,9.0,EA Tiburon,E
Onimusha: Blade Warriors,PS2,2003,Fighting,Capcom,0.06,0.05,0.0,0.02,0.12,65.0,33.0,69.0,7.0,Capcom,T
Disney's Extreme Skate Adventure,GC,2003,Sports,Activision,0.09,0.02,0.0,0.0,0.12,76.0,18.0,76.0,5.0,Toys for Bob,E
NBA 2K2,GC,2002,Sports,Sega,0.09,0.02,0.0,0.0,0.12,90.0,13.0,80.0,4.0,Visual Concepts,E
Psychonauts,XB,2005,Platform,THQ,0.09,0.03,0.0,0.0,0.12,88.0,54.0,90.0,71.0,Double Fine Productions,T
Jeremy McGrath Supercross World,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.12,36.0,14.0,56.0,5.0,Acclaim,E
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39.0,4.0,81.0,9.0,WideScreen Games,T
The Sky Crawlers: Innocent Aces,Wii,2008,Simulation,Namco Bandai Games,0.08,0.02,0.01,0.01,0.12,74.0,42.0,79.0,13.0,Access Games,T
nail'd,PS3,2010,Racing,Deep Silver,0.08,0.02,0.0,0.02,0.12,66.0,36.0,62.0,13.0,Techland,E10+
Lost Magic,DS,2006,Role-Playing,Ubisoft,0.09,0.0,0.02,0.01,0.12,68.0,44.0,82.0,32.0,Taito Corporation,E
Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,50.0,10.0,50.0,25.0,Ubisoft Quebec,T
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,84.0,559.0,Spicy Horse,M
Raiden IV,X360,2008,Shooter,Moss,0.1,0.0,0.01,0.01,0.12,63.0,4.0,78.0,10.0,Moss,E10+
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,5.0,78.0,148.0,Ubisoft Toronto,M
Phantasy Star Universe,X360,2006,Role-Playing,Sega,0.09,0.01,0.0,0.01,0.12,64.0,34.0,74.0,42.0,Sonic Team,T
Peggle: Dual Shot,DS,2009,Puzzle,PopCap Games,0.11,0.0,0.0,0.01,0.12,84.0,17.0,82.0,21.0,Q Entertainment,E
Spider-Man: Edge of Time,3DS,2011,Action,Activision,0.08,0.03,0.0,0.01,0.12,50.0,7.0,64.0,12.0,Beenox,T
Cruis'n,Wii,2007,Racing,Midway Games,0.1,0.01,0.0,0.01,0.12,25.0,7.0,37.0,18.0,Midway Studios - San Diego,E
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,26.0,73.0,24.0,Omega Force,T
Castlevania: Curse of Darkness,XB,2005,Action,Konami Digital Entertainment,0.09,0.03,0.0,0.0,0.12,74.0,26.0,70.0,13.0,Konami,M
Lost Planet 3,X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,58.0,43.0,58.0,142.0,Spark Unlimited,T
Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12,64.0,16.0,77.0,14.0,Ubisoft Montreal,E10+
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.12,72.0,8.0,70.0,5.0,RFX Interactive,T
Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.12,61.0,17.0,49.0,7.0,1st Playable Productions,T
Nightshade,PS2,2003,Action,Sega,0.06,0.04,0.0,0.01,0.12,68.0,39.0,77.0,20.0,Wow Entertainment,M
CSI: Crime Scene Investigation,XB,2004,Adventure,Ubisoft,0.09,0.03,0.0,0.0,0.12,45.0,14.0,73.0,4.0,369 Interactive,M
LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,77.0,7.0,73.0,31.0,TT Games,E10+
Buffy the Vampire Slayer: Chaos Bleeds,XB,2003,Action,Vivendi Games,0.09,0.03,0.0,0.0,0.12,73.0,26.0,84.0,14.0,Eurocom Entertainment Software,T
Onechanbara: Bikini Zombie Slayers,Wii,2008,Action,D3Publisher,0.11,0.0,0.0,0.01,0.12,55.0,24.0,80.0,20.0,Tamsoft,M
Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,51.0,70.0,351.0,Haemimont,T
Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,0.05,0.05,0.0,0.02,0.12,54.0,39.0,38.0,30.0,Novarama,T
Dragon Ball: Origins,DS,2008,Action,Atari,0.08,0.02,0.0,0.01,0.12,78.0,18.0,75.0,15.0,Game Republic,T
FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,12.0,42.0,160.0,"EA Sports, EA Vancouver",E
Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66.0,18.0,74.0,28.0,From Software,T
Lost in Shadow,Wii,2010,Platform,Konami Digital Entertainment,0.09,0.0,0.01,0.01,0.12,68.0,38.0,87.0,18.0,Hudson Soft,E10+
NHL 2K3,XB,2002,Sports,Sega,0.09,0.02,0.0,0.0,0.12,89.0,17.0,71.0,14.0,Treyarch,E
Die Hard: Vendetta,GC,2002,Shooter,NDA Productions,0.09,0.02,0.0,0.0,0.12,54.0,23.0,70.0,10.0,Bits Studios,M
F1 2002,PS2,2002,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12,81.0,11.0,64.0,10.0,Visual Sciences,E
Every Extend Extra,PSP,2006,Shooter,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.12,74.0,45.0,73.0,9.0,Q Entertainment,E
FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,73.0,23.0,77.0,22.0,EA Canada,E
Darkspore,PC,2011,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,0.12,65.0,52.0,60.0,133.0,Maxis,T
Self-Defense Training Camp,X360,2011,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.12,21.0,5.0,50.0,25.0,Ubisoft,T
Sphinx and the Cursed Mummy,XB,2003,Action,THQ,0.09,0.02,0.0,0.0,0.12,79.0,21.0,91.0,11.0,Eurocom Entertainment Software,T
GT Advance 2: Rally Racing,GBA,2001,Racing,THQ,0.08,0.03,0.0,0.0,0.11,77.0,12.0,60.0,4.0,MTO,E
Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,70.0,19.0,82.0,27.0,Koei Tecmo Games,M
Tenchu: Shadow Assassins,PSP,2009,Action,Ubisoft,0.03,0.02,0.05,0.01,0.11,68.0,18.0,74.0,18.0,From Software,M
Cabela's Deer Hunt 2005 Season,XB,2004,Sports,Activision,0.09,0.02,0.0,0.0,0.11,59.0,5.0,75.0,6.0,Sand Grain Studios,T
Dead Man's Hand,XB,2004,Shooter,Atari,0.09,0.02,0.0,0.0,0.11,62.0,31.0,81.0,9.0,Human Head Studios,T
Smash Cars,PS2,2003,Racing,Metro 3D,0.06,0.04,0.0,0.01,0.11,67.0,15.0,90.0,5.0,Creat Studios,E
NASCAR 07,PS2,2006,Racing,Electronic Arts,0.06,0.04,0.0,0.01,0.11,68.0,26.0,89.0,16.0,EA Tiburon,E
Tecmo Bowl: Kickoff,DS,2008,Sports,Tecmo Koei,0.11,0.0,0.0,0.01,0.11,66.0,21.0,73.0,8.0,Polygon Magic,E
Lost Horizon,PC,2010,Adventure,Deep Silver,0.0,0.1,0.0,0.02,0.11,77.0,24.0,79.0,27.0,Animation Arts,T
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,5.0,34.0,65.0,HB Studios Multimedia,E
Dokapon Kingdom,PS2,2007,Role-Playing,Sting,0.05,0.04,0.02,0.01,0.11,61.0,8.0,65.0,8.0,Sting,E10+
Puzzle Quest 2,DS,2010,Puzzle,D3Publisher,0.1,0.0,0.0,0.01,0.11,74.0,27.0,58.0,11.0,Infinite Interactive,E10+
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,0.08,0.03,0.0,0.0,0.11,76.0,20.0,81.0,7.0,Digital Eclipse,E
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0.0,0.11,72.0,16.0,68.0,5.0,Headstrong Games,E
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,50.0,17.0,62.0,9.0,"Nippon Ichi Software, Hit Maker",E10+
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,71.0,20.0,68.0,44.0,Tamsoft,T
Retro Game Challenge,DS,2007,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,77.0,30.0,73.0,15.0,Indies Zero,E
Shining Force NEO,PS2,2005,Role-Playing,Sega,0.06,0.04,0.0,0.01,0.11,69.0,12.0,81.0,20.0,Neverland,T
FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11,63.0,16.0,57.0,7.0,EA Canada,E
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11,45.0,30.0,54.0,16.0,Visual Concepts,T
Monster Madness: Battle for Suburbia,X360,2007,Shooter,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,55.0,29.0,52.0,18.0,"Artificial Studios, Immersion Software & Graphics",T
Tom Clancy's EndWar,PSP,2008,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.11,68.0,7.0,59.0,8.0,"Funatics Software, Funatics",T
NFL Head Coach 09,X360,2008,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.11,67.0,14.0,84.0,28.0,EA Tiburon,E
Blood Drive,X360,2010,Racing,Activision,0.09,0.01,0.0,0.01,0.11,40.0,21.0,65.0,10.0,Sidhe Interactive,M
Phantom Dust,XB,2004,Action,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11,81.0,37.0,85.0,35.0,Microsoft Game Studios Japan,T
Growlanser Generations,PS2,2003,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.11,81.0,19.0,77.0,19.0,Career Soft,T
Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,0.08,0.03,0.0,0.0,0.11,54.0,25.0,83.0,8.0,Capcom,E
Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67.0,58.0,76.0,226.0,Koei Tecmo Games,M
Prince of Persia: Rival Swords,PSP,2007,Action,Ubisoft,0.08,0.02,0.0,0.01,0.11,74.0,16.0,82.0,19.0,"Pipeworks Software, Inc.",T
Cold Winter,PS2,2005,Shooter,Vivendi Games,0.06,0.04,0.0,0.01,0.11,73.0,41.0,82.0,23.0,Swordfish Studios,M
Ring of Red,PS2,2000,Strategy,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11,82.0,15.0,87.0,11.0,Konami,T
Stubbs the Zombie in Rebel Without a Pulse,XB,2005,Action,THQ,0.08,0.02,0.0,0.0,0.11,75.0,55.0,81.0,16.0,Wideload Games Inc.,M
Batman: Dark Tomorrow,XB,2003,Action,Kemco,0.08,0.02,0.0,0.0,0.11,25.0,13.0,36.0,18.0,HotGen,T
Ping Pals,DS,2004,Misc,THQ,0.1,0.0,0.0,0.01,0.11,28.0,17.0,39.0,26.0,WayForward,E
MLB 13: The Show,PSV,2013,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.02,0.11,75.0,7.0,75.0,21.0,SCEA San Diego Studios,E
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52.0,17.0,68.0,8.0,Acclaim Studios Cheltenham,E
Split/Second,PSP,2010,Racing,Disney Interactive Studios,0.08,0.02,0.0,0.02,0.11,63.0,16.0,67.0,15.0,Black Rock Studio,E10+
Warhammer: Battle March,X360,2008,Strategy,Deep Silver,0.09,0.02,0.0,0.01,0.11,55.0,30.0,67.0,20.0,Black Hole Games,M
Batman: Rise of Sin Tzu,XB,2003,Action,Ubisoft,0.08,0.02,0.0,0.0,0.11,67.0,17.0,77.0,6.0,Ubisoft Montreal,T
The King of Fighters XII,X360,2009,Fighting,Ignition Entertainment,0.09,0.0,0.01,0.01,0.11,63.0,57.0,42.0,33.0,SNK Playmore,T
Spy vs Spy,XB,2005,Action,Global Star,0.08,0.02,0.0,0.0,0.11,53.0,34.0,80.0,8.0,Vicious Cycle,T
Coraline,PS2,2009,Action,D3Publisher,0.06,0.04,0.0,0.01,0.11,39.0,5.0,20.0,6.0,Papaya Studios,E10+
Cold Fear,PS2,2005,Action,Ubisoft,0.06,0.04,0.0,0.01,0.11,68.0,39.0,77.0,27.0,Darkworks,M
Zubo,DS,2008,Misc,Electronic Arts,0.08,0.02,0.0,0.01,0.11,75.0,19.0,76.0,75.0,EA Bright Light,E10+
NHL Hitz 20-03,XB,2002,Sports,Midway Games,0.08,0.02,0.0,0.0,0.11,81.0,19.0,85.0,13.0,Black Box,E
Murakumo: Renegade Mech Pursuit,XB,2002,Shooter,From Software,0.04,0.01,0.06,0.0,0.11,48.0,18.0,75.0,4.0,From Software,T
Gun Metal,XB,2002,Shooter,Rage Software,0.08,0.02,0.0,0.0,0.11,63.0,17.0,76.0,8.0,Rage Software,T
BloodRayne,GC,2002,Shooter,Universal Interactive,0.09,0.02,0.0,0.0,0.11,73.0,17.0,85.0,4.0,Terminal Reality,M
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,43.0,7.0,63.0,4.0,Acclaim,E
InuYasha: A Feudal Fairy Tale,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.1,0.01,0.11,69.0,5.0,90.0,74.0,Dimps Corporation,T
Where the Wild Things Are,X360,2009,Platform,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11,51.0,10.0,54.0,5.0,Griptonite Games,E10+
TMNT,PSP,2007,Action,Ubisoft,0.1,0.0,0.0,0.01,0.11,37.0,7.0,41.0,12.0,Ubisoft Montreal,E10+
Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.08,0.03,0.0,0.0,0.11,63.0,5.0,28.0,6.0,Ubisoft,E
MLB Power Pros,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,80.0,10.0,88.0,11.0,Konami,E
Dementium II,DS,2010,Shooter,SouthPeak Games,0.09,0.01,0.0,0.01,0.11,75.0,25.0,83.0,31.0,Renegade Kid,M
GoldenEye: Rogue Agent,DS,2005,Shooter,Electronic Arts,0.1,0.0,0.0,0.01,0.11,58.0,25.0,75.0,18.0,"EA Tiburon, n-Space",T
BlazBlue: Calamity Trigger Portable,PSP,2010,Fighting,PQube,0.07,0.01,0.03,0.01,0.11,82.0,14.0,78.0,18.0,Arc System Works,T
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,66.0,22.0,70.0,6.0,KCE Studios,T
Pimp My Ride,Wii,2008,Racing,Activision,0.1,0.0,0.0,0.01,0.11,26.0,4.0,38.0,8.0,Eutechnyx,T
Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.09,0.02,0.0,0.0,0.11,68.0,20.0,89.0,27.0,Capcom,T
Hot Wheels Velocity X,GC,2002,Racing,THQ,0.09,0.02,0.0,0.0,0.11,55.0,4.0,64.0,5.0,Beyond Games,E
Open Season,X360,2006,Platform,Ubisoft,0.1,0.0,0.0,0.01,0.11,59.0,15.0,73.0,9.0,Ubisoft,E10+
de Blob 2,DS,2011,Platform,THQ,0.08,0.02,0.0,0.01,0.11,75.0,11.0,82.0,6.0,Halfbrick Studios,E
